,Date,Time,CO(GT),Nonmethane Hydrocarbons,Benzene,Nitrogen Oxides,Nitrogen Dioxide,T
0,2004-03-10,18:00:00,2.6,150.0,11.9,166.0,113.0,13.6
1,2004-03-10,19:00:00,2.0,112.0,9.4,103.0,92.0,13.3
2,2004-03-10,20:00:00,2.2,88.0,9.0,131.0,114.0,11.9
3,2004-03-10,21:00:00,2.2,80.0,9.2,172.0,122.0,11.0
4,2004-03-10,22:00:00,1.6,51.0,6.5,131.0,116.0,11.2
5,2004-03-10,23:00:00,1.2,38.0,4.7,89.0,96.0,11.2
6,2004-03-11,0:00:00,1.2,31.0,3.6,62.0,77.0,11.3
7,2004-03-11,1:00:00,1.0,31.0,3.3,62.0,76.0,10.7
8,2004-03-11,2:00:00,0.9,24.0,2.3,45.0,60.0,10.7
11,2004-03-11,5:00:00,0.7,8.0,1.1,16.0,28.0,11.0
12,2004-03-11,6:00:00,0.7,16.0,1.6,34.0,48.0,10.5
13,2004-03-11,7:00:00,1.1,29.0,3.2,98.0,82.0,10.2
14,2004-03-11,8:00:00,2.0,64.0,8.0,174.0,112.0,10.8
15,2004-03-11,9:00:00,2.2,87.0,9.5,129.0,101.0,10.5
16,2004-03-11,10:00:00,1.7,77.0,6.3,112.0,98.0,10.8
17,2004-03-11,11:00:00,1.5,43.0,5.0,95.0,92.0,10.5
18,2004-03-11,12:00:00,1.6,61.0,5.2,104.0,95.0,9.5
19,2004-03-11,13:00:00,1.9,63.0,7.3,146.0,112.0,8.3
20,2004-03-11,14:00:00,2.9,164.0,11.5,207.0,128.0,8.0
21,2004-03-11,15:00:00,2.2,79.0,8.8,184.0,126.0,8.3
22,2004-03-11,16:00:00,2.2,95.0,8.3,193.0,131.0,9.7
23,2004-03-11,17:00:00,2.9,150.0,11.2,243.0,135.0,9.8
24,2004-03-11,18:00:00,4.8,307.0,20.8,281.0,151.0,10.3
25,2004-03-11,19:00:00,6.9,461.0,27.4,383.0,172.0,9.7
26,2004-03-11,20:00:00,6.1,401.0,24.0,351.0,165.0,9.6
27,2004-03-11,21:00:00,3.9,197.0,12.8,240.0,136.0,9.1
28,2004-03-11,22:00:00,1.5,61.0,4.7,94.0,85.0,8.2
29,2004-03-11,23:00:00,1.0,26.0,2.6,47.0,53.0,8.2
30,2004-03-12,0:00:00,1.7,55.0,5.9,122.0,97.0,8.3
31,2004-03-12,1:00:00,1.9,53.0,6.4,133.0,110.0,7.7
32,2004-03-12,2:00:00,1.4,40.0,4.1,82.0,91.0,7.1
35,2004-03-12,5:00:00,0.6,7.0,1.0,30.0,44.0,6.3
36,2004-03-12,6:00:00,0.8,17.0,1.8,56.0,71.0,6.8
37,2004-03-12,7:00:00,1.4,33.0,4.4,109.0,104.0,6.4
38,2004-03-12,8:00:00,4.4,202.0,17.9,307.0,141.0,7.3
40,2004-03-12,10:00:00,3.1,208.0,14.0,187.0,122.0,13.2
41,2004-03-12,11:00:00,2.7,166.0,11.6,216.0,143.0,14.3
42,2004-03-12,12:00:00,2.1,114.0,10.2,143.0,113.0,15.0
43,2004-03-12,13:00:00,2.5,140.0,11.0,160.0,116.0,16.1
44,2004-03-12,14:00:00,2.7,169.0,12.8,163.0,123.0,16.3
45,2004-03-12,15:00:00,2.9,185.0,14.2,190.0,126.0,15.8
46,2004-03-12,16:00:00,2.8,165.0,12.7,178.0,120.0,15.9
47,2004-03-12,17:00:00,2.4,133.0,11.7,150.0,119.0,16.9
48,2004-03-12,18:00:00,3.9,233.0,19.3,206.0,149.0,15.1
49,2004-03-12,19:00:00,3.7,242.0,18.2,202.0,145.0,14.4
50,2004-03-12,20:00:00,6.6,488.0,32.6,340.0,170.0,12.9
51,2004-03-12,21:00:00,4.4,333.0,20.1,274.0,149.0,12.1
52,2004-03-12,22:00:00,3.5,215.0,14.3,253.0,139.0,11.0
53,2004-03-12,23:00:00,5.4,367.0,21.8,300.0,134.0,9.7
54,2004-03-13,0:00:00,2.7,122.0,9.6,193.0,113.0,9.5
55,2004-03-13,1:00:00,1.9,67.0,7.4,139.0,97.0,9.1
56,2004-03-13,2:00:00,1.6,43.0,5.4,83.0,82.0,8.8
59,2004-03-13,5:00:00,1.0,30.0,2.6,62.0,65.0,8.3
60,2004-03-13,6:00:00,1.2,27.0,2.9,53.0,60.0,7.2
61,2004-03-13,7:00:00,1.5,47.0,5.1,139.0,77.0,6.3
62,2004-03-13,8:00:00,2.7,132.0,11.8,256.0,96.0,6.5
63,2004-03-13,9:00:00,3.7,239.0,15.1,295.0,119.0,9.6
64,2004-03-13,10:00:00,3.2,160.0,12.9,250.0,126.0,12.4
65,2004-03-13,11:00:00,4.1,283.0,16.1,296.0,158.0,15.6
66,2004-03-13,12:00:00,3.6,210.0,14.0,239.0,161.0,18.4
67,2004-03-13,13:00:00,2.8,154.0,12.3,153.0,124.0,19.4
68,2004-03-13,14:00:00,2.0,112.0,8.6,118.0,102.0,18.0
69,2004-03-13,15:00:00,2.0,108.0,9.2,119.0,116.0,18.4
70,2004-03-13,16:00:00,2.5,111.0,10.2,138.0,124.0,17.6
71,2004-03-13,17:00:00,2.3,97.0,10.6,148.0,125.0,16.7
72,2004-03-13,18:00:00,3.2,191.0,15.5,227.0,148.0,16.1
73,2004-03-13,19:00:00,4.2,258.0,19.6,277.0,165.0,15.8
74,2004-03-13,20:00:00,4.2,284.0,19.2,279.0,161.0,15.7
75,2004-03-13,21:00:00,4.2,269.0,18.3,283.0,159.0,15.3
76,2004-03-13,22:00:00,3.1,180.0,13.1,214.0,143.0,14.6
77,2004-03-13,23:00:00,2.6,116.0,10.9,172.0,130.0,14.7
78,2004-03-14,0:00:00,2.9,93.0,11.0,190.0,129.0,13.9
79,2004-03-14,1:00:00,2.8,131.0,11.9,174.0,119.0,14.6
80,2004-03-14,2:00:00,2.5,92.0,8.6,128.0,104.0,12.5
83,2004-03-14,5:00:00,1.2,32.0,3.7,53.0,70.0,11.5
84,2004-03-14,6:00:00,1.0,29.0,2.5,44.0,63.0,11.6
85,2004-03-14,7:00:00,0.9,27.0,2.4,74.0,67.0,10.4
86,2004-03-14,8:00:00,1.4,36.0,4.2,101.0,84.0,11.6
87,2004-03-14,9:00:00,1.6,57.0,6.4,118.0,83.0,12.4
88,2004-03-14,10:00:00,2.2,129.0,8.6,144.0,98.0,14.5
89,2004-03-14,11:00:00,2.8,148.0,10.9,176.0,114.0,16.9
90,2004-03-14,12:00:00,2.8,145.0,10.7,161.0,119.0,19.3
